images,masks
data/human_segmentation_kaggle/images/ds6_pexels-photo-206268.png,data/human_segmentation_kaggle/masks/ds6_pexels-photo-206268.png
data/human_segmentation_kaggle/images/ds6_pexels-photo-747190.png,data/human_segmentation_kaggle/masks/ds6_pexels-photo-747190.png
data/human_segmentation_kaggle/images/ds6_pexels-photo-821413.png,data/human_segmentation_kaggle/masks/ds6_pexels-photo-821413.png
data/human_segmentation_kaggle/images/ds8_pexels-photo-715848_aDaY195ygy.png,data/human_segmentation_kaggle/masks/ds8_pexels-photo-715848_aDaY195ygy.png
data/human_segmentation_kaggle/images/ds6_pexels-photo-582425.png,data/human_segmentation_kaggle/masks/ds6_pexels-photo-582425.png
data/human_segmentation_kaggle/images/ds6_beauty-warm-elegance-face-41204.png,data/human_segmentation_kaggle/masks/ds6_beauty-warm-elegance-face-41204.png
data/human_segmentation_kaggle/images/ds8_pexels-photo-157131.png,data/human_segmentation_kaggle/masks/ds8_pexels-photo-157131.png
data/human_segmentation_kaggle/images/ds8_pexels-photo-235510_TOqZtGErFQ.png,data/human_segmentation_kaggle/masks/ds8_pexels-photo-235510_TOqZtGErFQ.png
data/human_segmentation_kaggle/images/ds5_pexels-photo-265714.png,data/human_segmentation_kaggle/masks/ds5_pexels-photo-265714.png
data/human_segmentation_kaggle/images/ds8_pexels-photo-411278_rbfNT6IPKh.png,data/human_segmentation_kaggle/masks/ds8_pexels-photo-411278_rbfNT6IPKh.png
data/human_segmentation_kaggle/images/ds6_pexels-photo-751231.png,data/human_segmentation_kaggle/masks/ds6_pexels-photo-751231.png
data/human_segmentation_kaggle/images/ds7_pexels-photo-105454.png,data/human_segmentation_kaggle/masks/ds7_pexels-photo-105454.png
data/human_segmentation_kaggle/images/ds8_pexels-photo-848544_EqKqLfiSDY.png,data/human_segmentation_kaggle/masks/ds8_pexels-photo-848544_EqKqLfiSDY.png
data/human_segmentation_kaggle/images/ds6_pexels-photo-720606.png,data/human_segmentation_kaggle/masks/ds6_pexels-photo-720606.png
data/human_segmentation_kaggle/images/ds6_pexels-photo-823223.png,data/human_segmentation_kaggle/masks/ds6_pexels-photo-823223.png
data/human_segmentation_kaggle/images/ds8_pexels-photo-690428_hzBEAtEcyG.png,data/human_segmentation_kaggle/masks/ds8_pexels-photo-690428_hzBEAtEcyG.png
data/human_segmentation_kaggle/images/ds7_pexels-photo-597453.png,data/human_segmentation_kaggle/masks/ds7_pexels-photo-597453.png
data/human_segmentation_kaggle/images/ds6_pexels-photo-219615.png,data/human_segmentation_kaggle/masks/ds6_pexels-photo-219615.png
data/human_segmentation_kaggle/images/ds7_american-football-player-uniform-helmet-athlete-159776.png,data/human_segmentation_kaggle/masks/ds7_american-football-player-uniform-helmet-athlete-159776.png
data/human_segmentation_kaggle/images/ds1_pexels-photo-206434.png,data/human_segmentation_kaggle/masks/ds1_pexels-photo-206434.png
data/human_segmentation_kaggle/images/ds8_portrait-studio-girl-nice-48134.png,data/human_segmentation_kaggle/masks/ds8_portrait-studio-girl-nice-48134.png
data/human_segmentation_kaggle/images/ds2_pexels-photo-665194.png,data/human_segmentation_kaggle/masks/ds2_pexels-photo-665194.png
data/human_segmentation_kaggle/images/ds5_pexels-photo-206356.png,data/human_segmentation_kaggle/masks/ds5_pexels-photo-206356.png
data/human_segmentation_kaggle/images/ds2_pexels-photo-551650.png,data/human_segmentation_kaggle/masks/ds2_pexels-photo-551650.png
data/human_segmentation_kaggle/images/ds11_pexels-photo-415223.png,data/human_segmentation_kaggle/masks/ds11_pexels-photo-415223.png
data/human_segmentation_kaggle/images/ds2_pexels-photo-371085.png,data/human_segmentation_kaggle/masks/ds2_pexels-photo-371085.png
data/human_segmentation_kaggle/images/ds11_baseball-player-running-sport-163209.png,data/human_segmentation_kaggle/masks/ds11_baseball-player-running-sport-163209.png
data/human_segmentation_kaggle/images/ds8_pexels-photo-234575.png,data/human_segmentation_kaggle/masks/ds8_pexels-photo-234575.png
data/human_segmentation_kaggle/images/ds6_pexels-photo-616997.png,data/human_segmentation_kaggle/masks/ds6_pexels-photo-616997.png
data/human_segmentation_kaggle/images/ds8_pexels-photo-830955.png,data/human_segmentation_kaggle/masks/ds8_pexels-photo-830955.png
data/human_segmentation_kaggle/images/ds8_dance-ballet-powder-girl-40186.png,data/human_segmentation_kaggle/masks/ds8_dance-ballet-powder-girl-40186.png
data/human_segmentation_kaggle/images/ds6_pexels-photo-356252.png,data/human_segmentation_kaggle/masks/ds6_pexels-photo-356252.png
data/human_segmentation_kaggle/images/ds2_pexels-photo-792326.png,data/human_segmentation_kaggle/masks/ds2_pexels-photo-792326.png
data/human_segmentation_kaggle/images/ds7_pexels-photo-842286.png,data/human_segmentation_kaggle/masks/ds7_pexels-photo-842286.png
data/human_segmentation_kaggle/images/ds13_pexels-photo-859058.png,data/human_segmentation_kaggle/masks/ds13_pexels-photo-859058.png
data/human_segmentation_kaggle/images/ds8_studio-portrait-blond-blondie-girl-47736.png,data/human_segmentation_kaggle/masks/ds8_studio-portrait-blond-blondie-girl-47736.png
data/human_segmentation_kaggle/images/ds6_pexels-photo-769036_U1QCVdiZOa.png,data/human_segmentation_kaggle/masks/ds6_pexels-photo-769036_U1QCVdiZOa.png
data/human_segmentation_kaggle/images/ds8_pexels-photo-98039.png,data/human_segmentation_kaggle/masks/ds8_pexels-photo-98039.png
data/human_segmentation_kaggle/images/ds6_pexels-photo-698502.png,data/human_segmentation_kaggle/masks/ds6_pexels-photo-698502.png
data/human_segmentation_kaggle/images/ds8_pexels-photo-68721.png,data/human_segmentation_kaggle/masks/ds8_pexels-photo-68721.png
data/human_segmentation_kaggle/images/ds6_pexels-photo-262187.png,data/human_segmentation_kaggle/masks/ds6_pexels-photo-262187.png
data/human_segmentation_kaggle/images/ds2_pexels-photo-59576.png,data/human_segmentation_kaggle/masks/ds2_pexels-photo-59576.png
data/human_segmentation_kaggle/images/ds8_pexels-photo-458713.png,data/human_segmentation_kaggle/masks/ds8_pexels-photo-458713.png
data/human_segmentation_kaggle/images/ds11_pexels-photo-277096.png,data/human_segmentation_kaggle/masks/ds11_pexels-photo-277096.png
data/human_segmentation_kaggle/images/ds1_pexels-photo-343717.png,data/human_segmentation_kaggle/masks/ds1_pexels-photo-343717.png
data/human_segmentation_kaggle/images/ds8_girls-beauty-makeup-dark-160590.png,data/human_segmentation_kaggle/masks/ds8_girls-beauty-makeup-dark-160590.png
data/human_segmentation_kaggle/images/ds6_pexels-photo-533503.png,data/human_segmentation_kaggle/masks/ds6_pexels-photo-533503.png
data/human_segmentation_kaggle/images/ds2_pexels-photo-804121.png,data/human_segmentation_kaggle/masks/ds2_pexels-photo-804121.png
data/human_segmentation_kaggle/images/ds7_pexels-photo-164891.png,data/human_segmentation_kaggle/masks/ds7_pexels-photo-164891.png
data/human_segmentation_kaggle/images/ds8_pexels-photo-54203.png,data/human_segmentation_kaggle/masks/ds8_pexels-photo-54203.png
data/human_segmentation_kaggle/images/ds8_pexels-photo-851661_XOkbyqWDJQ.png,data/human_segmentation_kaggle/masks/ds8_pexels-photo-851661_XOkbyqWDJQ.png
data/human_segmentation_kaggle/images/ds9_pexels-photo-866821.png,data/human_segmentation_kaggle/masks/ds9_pexels-photo-866821.png
data/human_segmentation_kaggle/images/ds7_pexels-photo-602394.png,data/human_segmentation_kaggle/masks/ds7_pexels-photo-602394.png
